anyo;trimestre;provincia;municipio;valor_hasta_5a;valor_mas_5a;valor;tasaciones_hasta_5a;tasaciones_mas_5a;tasaciones
2005;1;Albacete;Albacete;;;1583.7;;;676.0
2005;1;Albacete;Almansa;;;834.0;;;104.0
2005;1;Albacete;Hellín;;;742.9;;;98.0
2005;1;Albacete;Villarrobledo;;;833.4;;;69.0
2005;1;Alicante;Alcoy/Alcoi;;;857.6;;;165.0
2005;1;Alicante;Alicante/Alacant;;;1496.3;;;1703.0
2005;1;Alicante;Benidorm;;;2178.6;;;398.0
2005;1;Alicante;Calpe/Calp;;;1928.3;;;204.0
2005;1;Alicante;Crevillent;;;868.6;;;91.0
2005;1;Alicante;Dénia;;;2018.8;;;721.0
2005;1;Alicante;Elche/Elx;;;1132.1;;;1001.0
2005;1;Alicante;Elda;;;846.2;;;218.0
2005;1;Alicante;Jávea/Xábia;;;2147.1;;;140.0
2005;1;Alicante;Novelda;;;844.5;;;107.0
2005;1;Alicante;Orihuela;;;1715.4;;;477.0
2005;1;Alicante;Petrer;;;891.5;;;67.0
2005;1;Alicante;San Vicente del Raspeig;;;1307.6;;;213.0
2005;1;Alicante;Santa Pola;;;1761.3;;;345.0
2005;1;Alicante;Torrevieja;;;1889.8;;;1198.0
2005;1;Alicante;Villajoyosa/Vila Joiosa (La);;;1750.1;;;276.0
2005;1;Alicante;Villena;;;873.2;;;106.0
2005;1;Almería;Almería;;;1477.4;;;867.0
2005;1;Almería;Ejido (El);;;1145.8;;;513.0
2005;1;Almería;Roquetas de Mar;;;1484.0;;;773.0
2005;1;Araba/Alava;Vitoria;;;2759.0;;;323.0
2005;1;ASTURIAS;Avilés;;;1242.8;;;348.0
2005;1;ASTURIAS;Gijón;;;1722.5;;;1061.0
2005;1;ASTURIAS;Langreo;;;930.5;;;88.0
2005;1;ASTURIAS;Mieres;;;1026.0;;;117.0
2005;1;ASTURIAS;Oviedo;;;1700.7;;;795.0
2005;1;ASTURIAS;Siero;;;1313.7;;;124.0
2005;1;Badajoz;Almendralejo;;;755.2;;;114.0
2005;1;Badajoz;Badajoz;;;1241.3;;;797.0
2005;1;Badajoz;Don Benito;;;803.0;;;152.0
2005;1;Badajoz;Mérida;;;926.3;;;319.0
2005;1;Barcelona;Badalona;;;2397.5;;;1411.0
2005;1;Barcelona;Barberà del Vallès;;;2125.7;;;195.0
2005;1;Barcelona;Barcelona;;;2975.4;;;6030.0
2005;1;Barcelona;Castelldefels;;;2777.5;;;328.0
2005;1;Barcelona;Cerdanyola del Vallès;;;2366.4;;;260.0
2005;1;Barcelona;Cornellà de Llobregat;;;2678.9;;;389.0
