anyo;trimestre;provincia;tasa_vivienda_libre;tasa_vivienda_libre_hasta_5a;tasa_vivienda_libre_mas_5a;tasa_vivienda_protegida;tasaciones
1995;1;Albacete;438.7;;;;
1995;1;Alicante/Alacant;477;;;;
1995;1;Almería;419.8;;;;
1995;1;Andalucía;513.4;;;;
1995;1;Araba/Alava;849;;;;
1995;1;Aragón;573.6;;;;
1995;1;Asturias (Principado de );657.9;;;;
1995;1;Badajoz;377;;;;
1995;1;Balears (Illes);586;;;;
1995;1;Barcelona;860;;;;
1995;1;Bizkaia;919.4;;;;
1995;1;Burgos;703.9;;;;
1995;1;Canarias;572.4;;;;
1995;1;Cantabria;750;;;;
1995;1;Castellón/Castelló;447.8;;;;
1995;1;Castilla y León;616.9;;;;
1995;1;Castilla-La Mancha;505.3;;;;
1995;1;Cataluña;735;;;;
1995;1;Ciudad Real;444.2;;;;
1995;1;Comunidad Valenciana;479.2;;;;
1995;1;Coruña (A);650.9;;;;
1995;1;Cuenca;439.5;;;;
1995;1;Cáceres;420.3;;;;
1995;1;Cádiz;500.6;;;;
1995;1;Córdoba;491.5;;;;
1995;1;Extremadura;394.7;;;;
1995;1;Galicia;584.5;;;;
1995;1;Gipuzkoa;972.2;;;;
1995;1;Girona;581.4;;;;
1995;1;Granada;494.8;;;;
1995;1;Guadalajara;633.4;;;;
1995;1;Huelva;504.8;;;;
1995;1;Huesca;447.4;;;;
1995;1;Jaén;375.8;;;;
1995;1;León;529.1;;;;
1995;1;Lleida;492.7;;;;
1995;1;Lugo;454;;;;
1995;1;Madrid (Comunidad de);1078.4;;;;
1995;1;Murcia (Región de);425.9;;;;
1995;1;Málaga;494.5;;;;
1995;1;Navarra (Comunidad Foral de);722.8;;;;
1995;1;Ourense;596.4;;;;
1995;1;Palencia;540.4;;;;
1995;1;Palmas (Las);576.1;;;;
1995;1;País Vasco;926.5;;;;
1995;1;Pontevedra;575.5;;;;
1995;1;Rioja (La);588.6;;;;
1995;1;Salamanca;624.1;;;;
1995;1;Santa Cruz de Tenerife;572.4;;;;
1995;1;Segovia;615;;;;
1995;1;Sevilla;505.2;;;;
1995;1;Soria;706.6;;;;
1995;1;Tarragona;497.9;;;;
1995;1;Teruel;411.1;;;;
1995;1;Toledo;477.8;;;;
1995;1;TOTAL NACIONAL;670.8;;;;
1995;1;Valencia/València;466;;;;
1995;1;Valladolid;654.7;;;;
1995;1;Zamora;506.1;;;;
1995;1;Zaragoza;619.7;;;;
1995;1;Ávila;579;;;;
1995;2;Albacete;432.1;;;;
1995;2;Alicante/Alacant;480;;;;
1995;2;Almería;421.1;;;;
1995;2;Andalucía;514.7;;;;
1995;2;Araba/Alava;827.9;;;;
1995;2;Aragón;570.6;;;;
1995;2;Asturias (Principado de );635.1;;;;
1995;2;Badajoz;391;;;;
1995;2;Balears (Illes);591.6;;;;
1995;2;Barcelona;881.8;;;;
1995;2;Bizkaia;890;;;;
1995;2;Burgos;749.3;;;;
1995;2;Canarias;598.4;;;;
1995;2;Cantabria;751.6;;;;
1995;2;Castellón/Castelló;435.5;;;;
1995;2;Castilla y León;631.6;;;;
1995;2;Castilla-La Mancha;500.6;;;;
1995;2;Cataluña;744.6;;;;
1995;2;Ciudad Real;446.6;;;;
1995;2;Comunidad Valenciana;479.2;;;;
1995;2;Coruña (A);713.8;;;;
1995;2;Cuenca;447.5;;;;
1995;2;Cáceres;417.7;;;;
1995;2;Cádiz;499.1;;;;
1995;2;Córdoba;531.1;;;;
1995;2;Extremadura;399.8;;;;
1995;2;Galicia;618.8;;;;
1995;2;Gipuzkoa;1009.6;;;;
1995;2;Girona;584.6;;;;
1995;2;Granada;475.3;;;;
1995;2;Guadalajara;664.1;;;;
1995;2;Huelva;506;;;;
1995;2;Huesca;434.9;;;;
1995;2;Jaén;380.6;;;;
1995;2;León;546.1;;;;
1995;2;Lleida;485;;;;
1995;2;Lugo;459.8;;;;
1995;2;Madrid (Comunidad de);1078.4;;;;
1995;2;Murcia (Región de);421;;;;
1995;2;Málaga;507.8;;;;
